民國,總數,有罪,科刑人數,死刑,無期徒刑,有期徒刑,6月以下,逾6月－1年未滿,1年－2年未滿,2年－3年未滿,3年－5年未滿,5年－7年未滿,7年－10年未滿,10年－15年以下,逾15年,拘役,罰金,免除其刑,無罪,免訴,不受理,其他,純製賣運輸-總數,純製賣運輸-有罪,純製賣運輸-科刑人數,純製賣運輸-死刑,純製賣運輸-無期徒刑,純製賣運輸-有期徒刑,純製賣運輸-6月以下,純製賣運輸-逾6月-1年未滿,純製賣運輸-1年-2年未滿,純製賣運輸-2年-3年未滿,純製賣運輸-3年-5年未滿,純製賣運輸-5年-7年未滿,純製賣運輸-7年-10年未滿,純製賣運輸-10年-15年以下,純製賣運輸-逾15年,純製賣運輸-拘役,純製賣運輸-罰金,純製賣運輸-免刑,純製賣運輸-無罪,純製賣運輸-免訴,純製賣運輸-不受理,純製賣運輸-其他,製賣運輸兼施用-總數,製賣運輸兼施用-有罪,製賣運輸兼施用-科刑人數,製賣運輸兼施用-死刑,製賣運輸兼施用-無期徒刑,製賣運輸兼施用-有期徒刑,製賣運輸兼施用-6月以下,製賣運輸兼施用-逾6月-1年未滿,製賣運輸兼施用-1年-2年未滿,製賣運輸兼施用-2年-3年未滿,製賣運輸兼施用-3年-5年未滿,製賣運輸兼施用-5年-7年未滿,製賣運輸兼施用-7年-10年未滿,製賣運輸兼施用-10年-15年以下,製賣運輸兼施用-逾15年,製賣運輸兼施用-拘役,製賣運輸兼施用-罰金,製賣運輸兼施用-免刑,製賣運輸兼施用-無罪,製賣運輸兼施用-免訴,製賣運輸兼施用-不受理,製賣運輸兼施用-其他,施用-總數,施用-有罪,施用-科刑人數,施用-死刑,施用-無期徒刑,施用-有期徒刑,施用-6月以下,施用-逾6月-1年未滿,施用-1年-2年未滿,施用-2年-3年未滿,施用-3年-5年未滿,施用-5年-7年未滿,施用-7年-10年未滿,施用-10年-15年以下,施用-逾15年,施用-拘役,施用-罰金,施用-免刑,施用-無罪,施用-免訴,施用-不受理,施用-其他,持有-總數,持有-有罪,持有-科刑人數,持有-死刑,持有-無期徒刑,持有-有期徒刑,持有-6月以下,持有-逾6月-1年未滿,持有-1年-2年未滿,持有-2年-3年未滿,持有-3年-5年未滿,持有-5年-7年未滿,持有-7年-10年未滿,持有-10年-15年以下,持有-逾15年,持有-拘役,持有-罰金,持有-免刑,持有-無罪,持有-免訴,持有-不受理,持有-其他
94,"8,524 ","8,168 ","8,143 ", - ,1 ,"7,814 ","5,816 ","1,323 ",305 ,32 ,92 ,53 ,167 ,26 , - ,314 ,14 ,25 ,129 ,73 ,151 ,3 ,436 ,348 ,348 , - ,1 ,344 ,2 ,2 ,5 ,24 ,86 ,38 ,161 ,26 , - , - ,3 , - ,79 , - ,9 , - ,4 ,4 ,3 , - , - ,3 , - , - , - , - , - ,2 ,1 , - , - , - , - ,1 , - , - , - , - ,"7,191 ","6,972 ","6,948 ", - , - ,"6,925 ","5,464 ","1,203 ",250 ,3 ,3 ,2 , - , - , - ,23 , - ,24 ,22 ,67 ,127 ,3 ,658 ,639 ,639 , - , - ,338 ,317 ,12 ,9 , - , - , - , - , - , - ,291 ,10 , - ,8 ,2 ,9 , - 
95,"8,381 ","8,003 ","7,982 ", - , - ,"7,582 ","5,519 ","1,276 ",252 ,35 ,122 ,60 ,268 ,50 , - ,391 ,9 ,21 ,126 ,107 ,138 ,7 ,569 ,480 ,479 , - , - ,478 , - , - ,4 ,17 ,112 ,34 ,263 ,48 , - , - ,1 ,1 ,69 ,9 ,11 , - ,7 ,7 ,7 , - , - ,7 , - , - , - , - ,2 ,4 ,1 , - , - , - , - , - , - , - , - , - ,"6,803 ","6,568 ","6,548 ", - , - ,"6,527 ","5,142 ","1,168 ",212 ,5 , - , - , - , - , - ,20 ,1 ,20 ,30 ,90 ,110 ,5 ,765 ,730 ,730 , - , - ,352 ,335 ,9 ,6 ,1 ,1 , - , - , - , - ,371 ,7 , - ,13 ,7 ,13 ,2 
96,"8,918 ","8,577 ","8,560 ", - , - ,"7,957 ","6,185 ","1,023 ",156 ,32 ,142 ,68 ,299 ,51 ,1 ,581 ,22 ,17 ,141 ,73 ,121 ,6 ,672 ,562 ,562 , - , - ,562 , - ,2 ,4 ,19 ,137 ,51 ,298 ,51 , - , - , - , - ,88 ,7 ,14 ,1 ,1 ,1 ,1 , - , - ,1 , - , - , - , - , - , - , - , - ,1 , - , - , - , - , - , - , - ,"6,981 ","6,811 ","6,794 ", - , - ,"6,782 ","5,720 ",943 ,116 ,3 , - , - , - , - , - ,12 , - ,17 ,17 ,56 ,93 ,4 ,"1,053 ","1,031 ","1,031 ", - , - ,440 ,415 ,12 ,9 ,1 , - ,3 , - , - , - ,569 ,22 , - ,8 ,6 ,8 , - 
97,"12,806 ","12,401 ","12,393 ", - , - ,"11,692 ","9,464 ","1,347 ",144 ,34 ,216 ,73 ,365 ,47 ,2 ,691 ,10 ,8 ,213 ,53 ,133 ,6 ,893 ,709 ,709 , - , - ,709 ,2 ,1 ,8 ,24 ,207 ,60 ,358 ,47 ,2 , - , - , - ,167 ,4 ,9 ,4 ,8 ,5 ,5 , - , - ,5 , - , - , - , - ,1 ,2 ,2 , - , - , - , - , - ,3 , - , - , - ,"10,546 ","10,372 ","10,364 ", - , - ,"10,353 ","8,949 ","1,283 ",121 , - , - , - , - , - , - ,11 , - ,8 ,17 ,39 ,116 ,2 ,"1,164 ","1,145 ","1,145 ", - , - ,455 ,438 ,10 ,4 ,2 , - ,1 , - , - , - ,680 ,10 , - ,6 ,7 ,6 , - 
98,"11,905 ","11,504 ","11,499 ", - , - ,"10,687 ","8,794 ","1,053 ",83 ,53 ,252 ,60 ,365 ,26 ,1 ,792 ,20 ,5 ,261 ,43 ,87 ,10 ,972 ,748 ,748 , - , - ,748 ,3 , - ,17 ,46 ,250 ,45 ,360 ,26 ,1 , - , - , - ,208 ,6 ,8 ,2 ,3 ,1 ,1 , - , - ,1 , - , - , - , - ,1 , - , - , - , - , - , - , - ,1 ,1 , - , - ,"9,492 ","9,376 ","9,371 ", - , - ,"9,358 ","8,308 ","1,000 ",50 , - , - , - , - , - , - ,13 , - ,5 ,14 ,28 ,66 ,8 ,"1,294 ","1,269 ","1,269 ", - , - ,470 ,440 ,14 ,11 ,5 , - , - , - , - , - ,779 ,20 , - ,11 ,4 ,10 , - 
99,"16,382 ","15,999 ","15,994 ", - , - ,"15,250 ","12,984 ",928 ,156 ,156 ,530 ,80 ,382 ,31 ,3 ,736 ,8 ,5 ,252 ,26 ,98 ,7 ,"1,474 ","1,241 ","1,241 ", - , - ,"1,241 ",2 ,1 ,88 ,145 ,520 ,72 ,379 ,31 ,3 , - , - , - ,217 ,1 ,12 ,3 ,1 ,1 ,1 , - , - ,1 , - , - , - ,1 , - , - , - , - , - , - , - , - , - , - , - , - ,"13,598 ","13,495 ","13,490 ", - , - ,"13,479 ","12,565 ",876 ,38 , - , - , - , - , - , - ,11 , - ,5 ,7 ,20 ,73 ,3 ,"1,205 ","1,177 ","1,177 ", - , - ,444 ,388 ,30 ,23 ,3 , - , - , - , - , - ,725 ,8 , - ,9 ,5 ,13 ,1 
100,"18,496 ","18,007 ","18,003 ", - , - ,"17,436 ","14,294 ","1,196 ",221 ,234 ,915 ,116 ,442 ,16 ,2 ,558 ,9 ,4 ,300 ,43 ,141 ,5 ,"2,118 ","1,820 ","1,820 ", - , - ,"1,820 ",4 ,1 ,137 ,212 ,905 ,103 ,440 ,16 ,2 , - , - , - ,261 ,3 ,31 ,3 ,2 ,2 ,2 , - , - ,2 , - , - , - ,2 , - , - , - , - , - , - , - , - , - , - , - , - ,"15,209 ","15,068 ","15,064 ", - , - ,"15,051 ","13,896 ","1,110 ",41 ,1 ,3 , - , - , - , - ,13 , - ,4 ,12 ,30 ,97 ,2 ,"1,065 ","1,043 ","1,043 ", - , - ,489 ,379 ,62 ,34 ,12 ,2 , - , - , - , - ,545 ,9 , - ,10 ,5 ,7 , - 
101,"19,078 ","18,557 ","18,557 ", - ,2 ,"17,898 ","14,129 ","1,396 ",321 ,322 ,"1,120 ",119 ,461 ,26 ,4 ,649 ,8 , - ,330 ,42 ,144 ,5 ,"2,604 ","2,269 ","2,269 ", - ,2 ,"2,267 ",5 ,12 ,236 ,309 ,"1,107 ",111 ,457 ,26 ,4 , - , - , - ,294 ,8 ,32 ,1 ,3 ,2 ,2 , - , - ,2 , - , - , - , - ,1 ,1 , - , - , - , - , - , - , - , - , - ,1 ,"15,183 ","15,045 ","15,045 ", - , - ,"15,036 ","13,718 ","1,275 ",42 ,1 , - , - , - , - , - ,9 , - , - ,13 ,23 ,100 ,2 ,"1,198 ","1,166 ","1,166 ", - , - ,518 ,385 ,93 ,30 ,6 ,4 , - , - , - , - ,640 ,8 , - ,13 ,7 ,11 ,1 
102,"20,299 ","19,796 ","19,794 ", - , - ,"18,983 ","15,202 ","1,455 ",321 ,335 ,"1,136 ",94 ,423 ,13 ,4 ,796 ,15 ,2 ,331 ,29 ,130 ,13 ,"2,536 ","2,214 ","2,214 ", - , - ,"2,214 ",7 ,9 ,228 ,316 ,"1,128 ",88 ,421 ,13 ,4 , - , - , - ,291 ,2 ,22 ,7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"16,312 ","16,180 ","16,179 ", - , - ,"16,168 ","14,771 ","1,338 ",58 ,1 , - , - , - , - , - ,11 , - ,1 ,18 ,14 ,95 ,5 ,"1,343 ","1,311 ","1,310 ", - , - ,510 ,386 ,85 ,32 ,6 ,1 , - , - , - , - ,785 ,15 ,1 ,12 ,9 ,10 ,1 
103,"21,684 ","21,203 ","21,199 ", - , - ,"20,520 ","16,870 ","1,613 ",274 ,271 ,"1,056 ",59 ,363 ,13 ,1 ,666 ,13 ,4 ,284 ,33 ,154 ,10 ,"2,220 ","1,942 ","1,941 ", - , - ,"1,941 ",2 ,5 ,191 ,260 ,"1,051 ",57 ,361 ,13 ,1 , - , - ,1 ,254 , - ,19 ,5 ,1 ,1 ,1 , - , - ,1 , - , - , - , - , - , - ,1 , - , - , - , - , - , - , - , - , - ,"18,096 ","17,945 ","17,944 ", - , - ,"17,940 ","16,421 ","1,478 ",40 , - ,1 , - , - , - , - ,4 , - ,1 ,10 ,23 ,116 ,2 ,"1,286 ","1,246 ","1,244 ", - , - ,569 ,417 ,109 ,38 ,3 ,2 , - , - , - , - ,662 ,13 ,2 ,11 ,9 ,17 ,3 
104,"23,534 ","23,043 ","23,043 ", - , - ,"22,447 ","19,076 ","1,614 ",279 ,250 ,928 ,50 ,243 ,7 , - ,588 ,8 , - ,267 ,39 ,173 ,12 ,"1,896 ","1,629 ","1,629 ", - , - ,"1,629 ",3 , - ,175 ,236 ,922 ,46 ,241 ,6 , - , - , - , - ,241 ,2 ,15 ,9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"20,257 ","20,074 ","20,074 ", - , - ,"20,068 ","18,625 ","1,406 ",36 , - ,1 , - , - , - , - ,6 , - , - ,11 ,27 ,142 ,3 ,"1,278 ","1,250 ","1,250 ", - , - ,660 ,406 ,187 ,59 ,7 ,1 , - , - , - , - ,582 ,8 , - ,10 ,7 ,11 , - 