機關名稱,機關類別,收容人人數,基礎戒護人力,可能之戒護人力,基礎戒護人力比,可能之戒護人力比
臺北監獄,監獄,6827,235,30,29.0510638297872,25.7622641509434
桃園監獄,監獄,1515,99,14,15.3030303030303,13.4070796460177
桃園女子監獄,女子監獄,1247,95,9,13.1263157894737,11.9903846153846
新竹監獄,監獄,2399,135,18,17.7703703703704,15.6797385620915
臺中監獄,監獄,8180,299,27,27.3578595317726,25.0920245398773
臺中女子監獄,女子監獄,1086,82,11,13.2439024390244,11.6774193548387
彰化監獄,監獄,3072,157,13,19.5668789808917,18.0705882352941
雲林監獄,監獄,1091,99,15,11.020202020202,9.57017543859649
雲林第二監獄,監獄,1799,135,13,13.3259259259259,12.1554054054054
嘉義監獄,監獄,3346,165,11,20.2787878787879,19.0113636363636
臺南監獄,監獄,4596,229,22,20.0698689956332,18.3107569721116
明德外役監獄,監獄,497,48,9,10.3541666666667,8.71929824561403
高雄監獄,監獄,2649,167,20,15.8622754491018,14.1657754010695
高雄第二監獄,監獄,2631,139,24,18.9280575539568,16.1411042944785
高雄女子監獄,女子監獄,1209,84,10,14.3928571428571,12.8617021276596
屏東監獄,監獄,3315,158,14,20.9810126582278,19.2732558139535
臺東監獄,監獄,4166,43,13,96.8837209302326,74.3928571428571
花蓮監獄,監獄,2011,126,15,15.9603174603175,14.2624113475177
自強外役監獄,監獄,445,48,6,9.27083333333333,8.24074074074074
宜蘭監獄,監獄,2889,160,18,18.05625,16.2303370786517
基隆監獄,監獄,485,38,6,12.7631578947368,11.0227272727273
澎湖監獄,監獄,1736,121,13,14.3471074380165,12.955223880597
綠島監獄,監獄,95,44,5,2.15909090909091,1.93877551020408
金門監獄,監獄,113,25,4,4.52,3.89655172413793
臺北看守所,看守所,2277,253,21,9,8.31021897810219
臺北女子看守所,女子看守所,337,41,8,8.21951219512195,6.87755102040816
桃園看守所,看守所,1080,21,1,51.4285714285714,49.0909090909091
新竹看守所,看守所,537,42,6,12.7857142857143,11.1875
苗栗看守所,看守所,366,67,7,5.46268656716418,4.94594594594595
臺中看守所,看守所,2085,155,14,13.4516129032258,12.3372781065089
彰化看守所,看守所,554,41,5,13.5121951219512,12.0434782608696
南投看守所,看守所,251,43,7,5.83720930232558,5.02
雲林看守所,看守所,405,10,2,40.5,33.75
嘉義看守所,看守所,286,69,6,4.14492753623188,3.81333333333333
臺南看守所,看守所,729,148,16,4.92567567567568,4.44512195121951
高雄看守所,看守所,1378,25,3,55.12,49.2142857142857
屏東看守所,看守所,419,64,7,6.546875,5.90140845070423
臺東看守所,看守所,119,3,3,39.6666666666667,19.8333333333333
花蓮看守所,看守所,265,41,5,6.46341463414634,5.76086956521739
宜蘭看守所,看守所,266,9,0,29.5555555555556,29.5555555555556
基隆看守所,看守所,249,39,6,6.38461538461539,5.53333333333333
澎湖看守所,看守所,56,4,1,14,11.2
金門看守所,看守所,72,2,0,36,36
連江看守所,看守所,0,3,0,0,0