民國,初犯,再犯,累犯
75,17611,1114,4728
76,13115,1086,5039
77,8672,1018,4196
78,12434,1232,5709
79,13412,1533,6178
80,12317,2461,6093
81,14426,3149,7290
82,19571,4008,10650
83,19661,4503,11977
84,16598,4325,10919
85,15839,5017,11798
86,16219,5817,13369
87,13563,4480,10033
88,11812,3476,7502
89,12143,3325,7679
90,13050,3313,8397
91,14333,3893,8777
92,14579,4832,9555
93,14552,6271,12523
94,13481,6693,13019
95,13841,8197,15569
96,12186,7996,14809
97,15735,10643,21856
98,13835,9256,19245
99,11949,8322,16888
100,11134,8829,16496
101,9882,9517,15930
102,9122,9429,15616
103,8303,9497,16585