民國,死刑之執行,徒刑拘役執行完畢,罰金易服勞役執行完畢,假釋(縮短刑期),執行完畢(縮短刑期),無期徒刑(假釋),有期徒刑(假釋),停止刑之執行,保外醫治,移送觀察勒戒或強制戒治,脫逃,死亡,本監移送他監執行,借提返回原監所,借提出監,其他,
75,10,15146,2342,4586,1173,82,271,39,76,0,7,52,5250,2848,3118,476,
76,6,13089,824,4885,1335,81,288,41,62,0,24,49,7207,2375,2348,1907,
77,22,14247,110,4935,2166,36,239,27,46,0,27,15,4169,1474,1355,134,
78,69,9313,44,4261,881,6,195,23,46,0,32,17,5272,1616,1719,133,
79,78,11270,54,3374,1057,8,263,37,74,0,32,14,5464,1946,2025,132,
80,59,14671,103,3987,1509,8,130,27,49,0,14,20,6018,2052,2046,113,
81,35,11760,105,4675,1193,3,220,49,70,0,14,33,7783,3199,3299,262,
82,18,14042,160,7525,1367,37,209,56,126,0,26,44,8257,5421,5200,420,
83,17,14032,171,14603,3387,37,232,77,203,0,25,34,11427,7275,7826,721,
84,16,8870,272,19389,5218,21,221,69,203,0,19,37,12307,6429,6805,804,
85,22,8310,434,16405,5196,20,214,42,209,0,10,31,12662,3883,4647,682,
86,38,10266,511,13919,6540,14,136,30,197,0,12,48,10921,4668,5582,741,
87,32,9801,516,14446,6881,10,140,52,197,1512,40,39,8419,4537,6133,1157,
88,24,8922,583,13089,4625,34,187,79,130,1556,13,49,7924,3473,3131,449,
89,17,9620,1073,11502,3842,49,140,33,146,1597,12,43,6788,3153,2870,369,
90,10,10215,1428,9124,4533,96,122,15,126,1637,10,47,7093,3107,2775,470,
91,9,12113,1769,8790,5250,143,151,31,150,1684,12,42,9076,3252,2932,392,
92,7,13444,1795,7916,5685,124,219,22,140,1635,0,41,7187,2954,2633,448,
93,3,14670,1380,7501,6840,89,230,33,139,610,3,45,10956,2901,2823,494,
94,3,15062,1184,7007,7624,123,241,30,161,673,1,69,14149,3390,3298,590,
95,0,16751,1411,9940,6821,419,367,36,196,636,5,65,16757,4132,4084,737,
96,0,29570,1344,7442,7551,189,226,56,139,602,0,64,12322,4895,4395,684,
97,0,23502,1956,5944,4560,176,227,25,183,520,3,71,18405,4662,4622,1003,
98,0,22003,2753,7827,5305,192,282,858,201,345,2,84,15397,4894,4998,1642,
99,4,18093,2077,8993,5659,81,226,260,240,439,5,75,14970,5096,5092,929,
100,5,17869,2190,10686,5294,143,292,81,204,432,0,91,11650,4879,4906,756,
101,6,17005,1900,9855,5249,104,260,34,247,347,3,91,11852,4625,4497,804,
102,6,16202,2023,10489,4955,28,488,30,257,315,4,86,12204,4297,4331,737,
103,5,17863,1846,10869,4346,43,472,36,229,316,7,134,9799,4215,4102,791,