年分,嫌疑犯人數,查獲件數,查獲第一級毒品總數,查獲第二級毒品總數,查獲第三級毒品總數,查獲第四級毒品總數
85,40822,28833,6065,22424,,
86,45095,32433,7474,24599,,
87,41927,31307,5082,17771,,
88,50504,40028,7955,26010,,
89,49797,41556,11575,29416,,
90,34434,29118,11902,14275,25,2916
91,30643,25612,13276,7447,97,4792
92,28921,25480,13967,6791,124,4598
93,40136,37347,21348,10910,240,4849
94,51376,49452,29872,16323,190,3067
95,47257,45405,31917,13056,253,179
96,53681,52835,33615,18713,445,62
97,52762,52457,33785,18019,582,71
98,47400,44913,24280,19713,887,33
99,51078,48318,19504,27694,1098,22
100,48875,45999,17435,26968,2192,38
101,47043,44001,15661,26021,2192,127
102,43268,40130,12675,24687,2727,41
103,41265,38369,11495,24625,2712,77
104,54112,49843,13397,33584,2706,126
,,,,,,