民國,死刑,無期徒刑,有期徒刑,二月未滿,二月以上六月未滿,六月以上一年未滿,一年以上二年未滿,二年以上三年未滿,三年,三年以上五年未滿,五年以上七年未滿,七年以上十年未滿,十年以上十五年以下,十五年以上,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數
75,0,0,3860,0,2737,581,425,72,17,23,4,0,1,0,175,164,1,1419,83,298,36,23,無資料,189
76,0,0,3275,1,2165,500,501,75,7,23,2,1,0,0,84,139,3,1425,82,390,48,31,無資料,202
77,0,0,3122,90,2325,387,257,45,5,12,1,0,0,0,121,113,2,1162,70,229,40,58,無資料,207
78,0,0,1773,101,1974,298,160,28,5,7,0,0,0,0,158,103,2,1069,99,205,89,60,無資料,187
79,0,0,2583,33,1906,345,253,33,6,4,3,0,0,0,123,43,3,880,69,221,87,102,無資料,187
80,0,0,2764,151,1887,385,272,51,5,7,1,0,0,0,97,32,3,988,76,293,107,121,無資料,231
81,0,0,3053,104,2107,432,355,40,7,6,1,1,0,0,131,48,0,1149,60,303,54,93,無資料,258
82,0,0,3160,71,2180,456,358,61,9,21,4,0,0,0,196,71,4,1110,88,343,121,106,無資料,320
83,0,0,2911,28,1916,480,368,81,13,23,2,0,0,0,155,33,1,1108,104,327,121,94,無資料,349
84,0,0,2818,21,1883,444,391,53,11,8,2,0,0,0,143,38,0,1085,133,284,152,80,1324,316
85,0,0,3276,0,13,2246,476,421,69,9,17,2,0,0,217,65,1,1119,168,294,43,74,1596,374
86,0,0,3764,21,2534,600,469,91,18,14,4,2,0,0,264,54,0,1625,176,341,96,59,1710,470
87,0,0,3841,11,2625,585,488,83,11,27,5,0,0,0,269,53,1,1332,206,278,87,75,1899,494
88,0,0,4522,6,2935,771,645,108,14,30,4,0,0,0,309,52,2,1394,116,327,267,70,2023,680
89,0,0,4922,6,3185,799,748,122,20,31,4,2,0,0,467,33,0,1446,104,446,79,111,2359,705
90,0,0,6191,3,4472,804,732,125,14,25,3,3,0,0,467,42,0,1395,148,442,105,118,2778,806
91,0,0,5941,5,4435,609,708,118,19,26,3,0,0,0,340,27,19,1296,115,391,110,85,2136,849
92,0,0,6410,4,4768,575,820,131,31,29,9,0,0,0,481,29,5,1368,126,473,134,93,2467,855
93,0,0,5618,3,4256,468,676,136,15,31,4,1,0,0,355,9,3,980,105,386,92,88,1974,726
94,0,0,5046,0,3935,438,519,75,0,31,6,1,0,0,316,11,1,657,91,197,39,88,1659,684
95,0,0,5217,0,4119,426,517,94,0,40,6,0,0,0,246,6,0,645,110,211,6,156,1541,773
96,0,0,5439,0,4267,458,568,90,0,42,3,1,0,0,396,12,0,592,113,239,22,187,1678,779
97,0,0,5714,0,4879,456,270,59,0,28,0,2,0,0,308,5,0,533,98,271,16,178,1640,764
98,0,0,5709,0,4755,374,463,78,0,32,1,0,0,0,276,2,2,977,127,155,9,225,1563,881
99,0,0,5695,0,4612,379,588,77,0,29,1,0,0,0,325,3,1,591,106,160,23,254,1533,864
100,0,0,5021,0,3939,309,631,94,0,35,1,0,0,0,292,4,0,540,98,145,16,258,1330,797
101,0,0,4561,0,3466,254,701,89,0,36,8,3,0,0,260,5,7,464,97,417,3,265,1253,644
102,0,0,4204,0,3268,239,576,78,0,25,4,0,0,0,253,9,1,493,121,117,8,251,1160,596
103,0,0,4468,0,3561,191,589,72,0,37,3,0,0,0,267,3,2,413,129,112,18,269,1148,608
104,0,0,3588,0,2892,163,473,45,0,14,1,0,0,0,214,2,0,445,108,204,15,217,無資料,600