民國,死刑,無期徒刑,有期徒刑,拘役,罰金,免刑,無罪,免訴,不受理,其他,保安處分人數,緩刑人數,累犯人數,
75,0,0,5478,10,7146,5,144,9,7,1,0,缺,147,
76,0,0,9746,3,8310,0,328,13,20,0,20,缺,262,
77,0,0,10509,6,9334,1,297,10,12,0,542,缺,332,
78,0,0,12676,4,10446,1,360,16,17,7,988,缺,442,
79,0,0,5903,2,12473,3,270,26,17,0,293,缺,265,
80,0,0,8164,7,26423,5,197,22,51,8,249,缺,365,
81,0,0,13511,9,40466,10,394,84,80,29,142,缺,606,
82,0,0,12168,8,22191,25,531,92,57,4,64,缺,750,
83,0,0,12057,8,22427,3,539,46,48,2,24,缺,806,
84,0,0,11113,30,22907,10,734,64,60,3,32,1733,888,
85,0,0,9879,16,22715,6,448,89,54,1,20,1806,791,
86,0,0,10408,9,22535,14,643,69,45,2,4,1204,963,
87,0,0,8075,7,15938,0,891,63,54,6,8,1138,806,
88,0,0,7158,9,13471,19,999,44,41,7,6,938,638,
89,0,0,4712,12,10375,6,829,37,26,8,22,772,412,
90,0,0,3569,17,7558,0,932,43,46,5,19,605,331,
91,0,0,2506,22,4830,0,730,36,29,3,14,504,265,
92,0,0,2597,11,4795,4,994,35,25,10,14,700,200,
93,0,0,2202,7,2834,0,331,28,21,2,11,439,191,
94,0,0,1903,11,2859,0,234,13,9,7,20,441,128,
95,0,0,3045,19,3807,0,138,18,10,2,17,790,197,
96,0,0,3130,23,4775,0,243,17,34,1,34,571,240,
97,0,0,3722,10,4777,0,319,5,26,4,44,662,352,
98,0,0,3698,14,4990,1,118,9,17,2,37,684,378,
99,0,0,4012,9,4361,0,641,14,17,2,95,723,430,
100,0,0,4496,9,4299,0,131,6,16,0,134,767,494,
101,0,0,4933,12,4808,0,107,3,16,4,122,767,633,
102,0,0,4580,4,4451,0,125,8,14,1,92,616,622,
103,0,0,4567,5,4264,0,143,7,20,4,95,616,681,